"lakename","year4","daynum","sampledate","depth","depth_id","DIC_mg","doc","absorbance","tpc"
"Paul Lake",1990,218,1990-08-06,"Epilimnion",-1,NA,4.73,NA,0.4
"Peter Lake",1990,219,1990-08-07,"Metalimnion",-2,NA,4.28,NA,0.86
"Peter Lake",1990,219,1990-08-07,"Epilimnion",-1,NA,4.55,NA,0.61
"Tuesday Lake",1990,220,1990-08-08,"Metalimnion",-2,NA,8.75,NA,0.9
"Tuesday Lake",1990,220,1990-08-08,"Epilimnion",-1,NA,8.62,NA,0.82
"East Long Lake",1990,222,1990-08-10,"Epilimnion",-1,NA,6.8,NA,0.56
"West Long Lake",1990,222,1990-08-10,"Epilimnion",-1,NA,6.09,NA,0.96
"Paul Lake",1990,225,1990-08-13,"Metalimnion",-2,NA,3.65,NA,0.56
"Paul Lake",1990,225,1990-08-13,"Epilimnion",-1,NA,4.74,NA,0.44
"Peter Lake",1990,226,1990-08-14,"Metalimnion",-2,NA,4.42,NA,0.63
"Peter Lake",1990,226,1990-08-14,"Epilimnion",-1,NA,4.6,NA,0.58
"Tuesday Lake",1990,227,1990-08-15,"Metalimnion",-2,NA,9.45,NA,0.67
"Tuesday Lake",1990,227,1990-08-15,"Epilimnion",-1,NA,9.1,NA,0.71
"Paul Lake",1990,232,1990-08-20,"Metalimnion",-2,NA,4.78,NA,0.56
"Paul Lake",1990,232,1990-08-20,"Epilimnion",-1,NA,5.24,NA,0.47
"Peter Lake",1990,233,1990-08-21,"Metalimnion",-2,NA,4.28,NA,0.56
"Peter Lake",1990,233,1990-08-21,"Epilimnion",-1,NA,5.42,NA,0.46
